Statistical Division or Subdivision,LGA,Offence category,Subcategory,Score
Eastern Suburbs,Woollahra,Against justice procedures,Fail to appear,138
Eastern Suburbs,Woollahra,Against justice procedures,Resist or hinder officer,493
Eastern Suburbs,Woollahra,Against justice procedures,Other offences against justice procedures,128
Eastern Suburbs,Woollahra,Transport regulatory offences,,601
Eastern Suburbs,Woollahra,Other offences,,2973
St George-Sutherland,Hurstville,Homicide,Murder (a),18
St George-Sutherland,Hurstville,Homicide,Attempted murder,11
St George-Sutherland,Hurstville,Homicide,"Murder accessory, conspiracy",0
St George-Sutherland,Hurstville,Homicide,Manslaughter (a),2
St George-Sutherland,Hurstville,Assault,Domestic violence related assault,4242
St George-Sutherland,Hurstville,Assault,Non-domestic violence related assault,6662
St George-Sutherland,Hurstville,Assault,Assault Police,348
St George-Sutherland,Hurstville,Sexual offences,Sexual assault,538
St George-Sutherland,Hurstville,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1040
St George-Sutherland,Hurstville,Abduction and kidnapping,,94
St George-Sutherland,Hurstville,Robbery,Robbery without a weapon,2043
St George-Sutherland,Hurstville,Robbery,Robbery with a firearm,224
St George-Sutherland,Hurstville,Robbery,Robbery with a weapon not a firearm,986
St George-Sutherland,Hurstville,Blackmail and extortion,,105
St George-Sutherland,Hurstville,"Harassment, threatening behaviour and private nuisance",,4557
St George-Sutherland,Hurstville,Other offences against the person,,214
St George-Sutherland,Hurstville,Theft,Break and enter dwelling,12977
St George-Sutherland,Hurstville,Theft,Break and enter non-dwelling,5401
St George-Sutherland,Hurstville,Theft,Receiving or handling stolen goods,1654
St George-Sutherland,Hurstville,Theft,Motor vehicle theft,10076
St George-Sutherland,Hurstville,Theft,Steal from motor vehicle,15046
St George-Sutherland,Hurstville,Theft,Steal from retail store,8156
St George-Sutherland,Hurstville,Theft,Steal from dwelling,3705
St George-Sutherland,Hurstville,Theft,Steal from person,3258
St George-Sutherland,Hurstville,Theft,Stock theft,13
St George-Sutherland,Hurstville,Theft,Fraud,9428
St George-Sutherland,Hurstville,Theft,Other theft,8497
St George-Sutherland,Hurstville,Arson,,822
St George-Sutherland,Hurstville,Malicious damage to property,,19147
St George-Sutherland,Hurstville,Drug offences,Possession and/or use of cocaine,71
St George-Sutherland,Hurstville,Drug offences,Possession and/or use of narcotics,142
St George-Sutherland,Hurstville,Drug offences,Possession and/or use of cannabis,2389
St George-Sutherland,Hurstville,Drug offences,Possession and/or use of amphetamines,330
St George-Sutherland,Hurstville,Drug offences,Possession and/or use of ecstasy,97
St George-Sutherland,Hurstville,Drug offences,Possession and/or use of other drugs,286
St George-Sutherland,Hurstville,Drug offences,"Dealing, trafficking in cocaine",11
St George-Sutherland,Hurstville,Drug offences,"Dealing, trafficking in narcotics",32
St George-Sutherland,Hurstville,Drug offences,"Dealing, trafficking in cannabis",150
St George-Sutherland,Hurstville,Drug offences,"Dealing, trafficking in amphetamines",63
St George-Sutherland,Hurstville,Drug offences,"Dealing, trafficking in ecstasy",47
St George-Sutherland,Hurstville,Drug offences,"Dealing, trafficking in other drugs",15
St George-Sutherland,Hurstville,Drug offences,Cultivating cannabis,152
St George-Sutherland,Hurstville,Drug offences,Manufacture drug,14
St George-Sutherland,Hurstville,Drug offences,Importing drugs,10
St George-Sutherland,Hurstville,Drug offences,Other drug offences,505
St George-Sutherland,Hurstville,Prohibited and regulated weapons offences,,1590
St George-Sutherland,Hurstville,Disorderly conduct,Trespass,1058
St George-Sutherland,Hurstville,Disorderly conduct,Offensive conduct,704
St George-Sutherland,Hurstville,Disorderly conduct,Offensive language,799
St George-Sutherland,Hurstville,Disorderly conduct,Criminal intent,464
St George-Sutherland,Hurstville,Betting and gaming offences,,3
St George-Sutherland,Hurstville,Liquor offences,,1133
St George-Sutherland,Hurstville,Pornography offences,,17
St George-Sutherland,Hurstville,Prostitution offences,,9
St George-Sutherland,Hurstville,Against justice procedures,Escape custody,30
St George-Sutherland,Hurstville,Against justice procedures,Breach Apprehended Violence Order,1748
St George-Sutherland,Hurstville,Against justice procedures,Breach bail conditions,2624
St George-Sutherland,Hurstville,Against justice procedures,Fail to appear,159
St George-Sutherland,Hurstville,Against justice procedures,Resist or hinder officer,973
St George-Sutherland,Hurstville,Against justice procedures,Other offences against justice procedures,130
St George-Sutherland,Hurstville,Transport regulatory offences,,25080
St George-Sutherland,Hurstville,Other offences,,2370
St George-Sutherland,Kogarah,Homicide,Murder (a),7
St George-Sutherland,Kogarah,Homicide,Attempted murder,4
St George-Sutherland,Kogarah,Homicide,"Murder accessory, conspiracy",0
St George-Sutherland,Kogarah,Homicide,Manslaughter (a),0
St George-Sutherland,Kogarah,Assault,Domestic violence related assault,2341
St George-Sutherland,Kogarah,Assault,Non-domestic violence related assault,2585
St George-Sutherland,Kogarah,Assault,Assault Police,264
St George-Sutherland,Kogarah,Sexual offences,Sexual assault,277
St George-Sutherland,Kogarah,Sexual offences,"Indecent assault, act of indecency and other sexual offences",531
St George-Sutherland,Kogarah,Abduction and kidnapping,,51
St George-Sutherland,Kogarah,Robbery,Robbery without a weapon,599
St George-Sutherland,Kogarah,Robbery,Robbery with a firearm,130
St George-Sutherland,Kogarah,Robbery,Robbery with a weapon not a firearm,366
St George-Sutherland,Kogarah,Blackmail and extortion,,46
St George-Sutherland,Kogarah,"Harassment, threatening behaviour and private nuisance",,2965
St George-Sutherland,Kogarah,Other offences against the person,,99
St George-Sutherland,Kogarah,Theft,Break and enter dwelling,9010
St George-Sutherland,Kogarah,Theft,Break and enter non-dwelling,2404
St George-Sutherland,Kogarah,Theft,Receiving or handling stolen goods,464
St George-Sutherland,Kogarah,Theft,Motor vehicle theft,4516
St George-Sutherland,Kogarah,Theft,Steal from motor vehicle,7056
St George-Sutherland,Kogarah,Theft,Steal from retail store,910
St George-Sutherland,Kogarah,Theft,Steal from dwelling,2323
St George-Sutherland,Kogarah,Theft,Steal from person,631
St George-Sutherland,Kogarah,Theft,Stock theft,10
St George-Sutherland,Kogarah,Theft,Fraud,4537
St George-Sutherland,Kogarah,Theft,Other theft,3345
St George-Sutherland,Kogarah,Arson,,344
St George-Sutherland,Kogarah,Malicious damage to property,,10006
St George-Sutherland,Kogarah,Drug offences,Possession and/or use of cocaine,61
St George-Sutherland,Kogarah,Drug offences,Possession and/or use of narcotics,84
St George-Sutherland,Kogarah,Drug offences,Possession and/or use of cannabis,1195
St George-Sutherland,Kogarah,Drug offences,Possession and/or use of amphetamines,185
St George-Sutherland,Kogarah,Drug offences,Possession and/or use of ecstasy,64
St George-Sutherland,Kogarah,Drug offences,Possession and/or use of other drugs,187
St George-Sutherland,Kogarah,Drug offences,"Dealing, trafficking in cocaine",8
St George-Sutherland,Kogarah,Drug offences,"Dealing, trafficking in narcotics",23
St George-Sutherland,Kogarah,Drug offences,"Dealing, trafficking in cannabis",53
St George-Sutherland,Kogarah,Drug offences,"Dealing, trafficking in amphetamines",58
St George-Sutherland,Kogarah,Drug offences,"Dealing, trafficking in ecstasy",30
St George-Sutherland,Kogarah,Drug offences,"Dealing, trafficking in other drugs",9
St George-Sutherland,Kogarah,Drug offences,Cultivating cannabis,70
St George-Sutherland,Kogarah,Drug offences,Manufacture drug,5
St George-Sutherland,Kogarah,Drug offences,Importing drugs,3
St George-Sutherland,Kogarah,Drug offences,Other drug offences,335
St George-Sutherland,Kogarah,Prohibited and regulated weapons offences,,745
St George-Sutherland,Kogarah,Disorderly conduct,Trespass,446
St George-Sutherland,Kogarah,Disorderly conduct,Offensive conduct,381
St George-Sutherland,Kogarah,Disorderly conduct,Offensive language,402
St George-Sutherland,Kogarah,Disorderly conduct,Criminal intent,258
St George-Sutherland,Kogarah,Betting and gaming offences,,3
St George-Sutherland,Kogarah,Liquor offences,,871
St George-Sutherland,Kogarah,Pornography offences,,13
St George-Sutherland,Kogarah,Prostitution offences,,3
St George-Sutherland,Kogarah,Against justice procedures,Escape custody,20
St George-Sutherland,Kogarah,Against justice procedures,Breach Apprehended Violence Order,901
St George-Sutherland,Kogarah,Against justice procedures,Breach bail conditions,4755
St George-Sutherland,Kogarah,Against justice procedures,Fail to appear,309
St George-Sutherland,Kogarah,Against justice procedures,Resist or hinder officer,480
St George-Sutherland,Kogarah,Against justice procedures,Other offences against justice procedures,96
St George-Sutherland,Kogarah,Transport regulatory offences,,3743
St George-Sutherland,Kogarah,Other offences,,1277
St George-Sutherland,Rockdale,Homicide,Murder (a),18
St George-Sutherland,Rockdale,Homicide,Attempted murder,12
St George-Sutherland,Rockdale,Homicide,"Murder accessory, conspiracy",1
St George-Sutherland,Rockdale,Homicide,Manslaughter (a),1
St George-Sutherland,Rockdale,Assault,Domestic violence related assault,5452
St George-Sutherland,Rockdale,Assault,Non-domestic violence related assault,6940
St George-Sutherland,Rockdale,Assault,Assault Police,369
St George-Sutherland,Rockdale,Sexual offences,Sexual assault,628
St George-Sutherland,Rockdale,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1115
St George-Sutherland,Rockdale,Abduction and kidnapping,,97
St George-Sutherland,Rockdale,Robbery,Robbery without a weapon,1874
St George-Sutherland,Rockdale,Robbery,Robbery with a firearm,403
St George-Sutherland,Rockdale,Robbery,Robbery with a weapon not a firearm,1273
St George-Sutherland,Rockdale,Blackmail and extortion,,39
St George-Sutherland,Rockdale,"Harassment, threatening behaviour and private nuisance",,5856
St George-Sutherland,Rockdale,Other offences against the person,,239
St George-Sutherland,Rockdale,Theft,Break and enter dwelling,15628
St George-Sutherland,Rockdale,Theft,Break and enter non-dwelling,5584
St George-Sutherland,Rockdale,Theft,Receiving or handling stolen goods,2262
St George-Sutherland,Rockdale,Theft,Motor vehicle theft,13209
St George-Sutherland,Rockdale,Theft,Steal from motor vehicle,17157
St George-Sutherland,Rockdale,Theft,Steal from retail store,3501
St George-Sutherland,Rockdale,Theft,Steal from dwelling,4052
St George-Sutherland,Rockdale,Theft,Steal from person,2374
St George-Sutherland,Rockdale,Theft,Stock theft,22
St George-Sutherland,Rockdale,Theft,Fraud,10786
St George-Sutherland,Rockdale,Theft,Other theft,8990
St George-Sutherland,Rockdale,Arson,,955
St George-Sutherland,Rockdale,Malicious damage to property,,19580
St George-Sutherland,Rockdale,Drug offences,Possession and/or use of cocaine,131
St George-Sutherland,Rockdale,Drug offences,Possession and/or use of narcotics,312
St George-Sutherland,Rockdale,Drug offences,Possession and/or use of cannabis,3451
St George-Sutherland,Rockdale,Drug offences,Possession and/or use of amphetamines,475
St George-Sutherland,Rockdale,Drug offences,Possession and/or use of ecstasy,145
St George-Sutherland,Rockdale,Drug offences,Possession and/or use of other drugs,678
St George-Sutherland,Rockdale,Drug offences,"Dealing, trafficking in cocaine",98
St George-Sutherland,Rockdale,Drug offences,"Dealing, trafficking in narcotics",140
St George-Sutherland,Rockdale,Drug offences,"Dealing, trafficking in cannabis",112
St George-Sutherland,Rockdale,Drug offences,"Dealing, trafficking in amphetamines",164
St George-Sutherland,Rockdale,Drug offences,"Dealing, trafficking in ecstasy",43
St George-Sutherland,Rockdale,Drug offences,"Dealing, trafficking in other drugs",23
St George-Sutherland,Rockdale,Drug offences,Cultivating cannabis,148
St George-Sutherland,Rockdale,Drug offences,Manufacture drug,30
St George-Sutherland,Rockdale,Drug offences,Importing drugs,8
St George-Sutherland,Rockdale,Drug offences,Other drug offences,792
St George-Sutherland,Rockdale,Prohibited and regulated weapons offences,,2113
St George-Sutherland,Rockdale,Disorderly conduct,Trespass,858
St George-Sutherland,Rockdale,Disorderly conduct,Offensive conduct,418
St George-Sutherland,Rockdale,Disorderly conduct,Offensive language,670
St George-Sutherland,Rockdale,Disorderly conduct,Criminal intent,535
St George-Sutherland,Rockdale,Betting and gaming offences,,7
St George-Sutherland,Rockdale,Liquor offences,,892
St George-Sutherland,Rockdale,Pornography offences,,20
St George-Sutherland,Rockdale,Prostitution offences,,11
St George-Sutherland,Rockdale,Against justice procedures,Escape custody,32
St George-Sutherland,Rockdale,Against justice procedures,Breach Apprehended Violence Order,2253
St George-Sutherland,Rockdale,Against justice procedures,Breach bail conditions,1294
St George-Sutherland,Rockdale,Against justice procedures,Fail to appear,165
St George-Sutherland,Rockdale,Against justice procedures,Resist or hinder officer,931
St George-Sutherland,Rockdale,Against justice procedures,Other offences against justice procedures,156
St George-Sutherland,Rockdale,Transport regulatory offences,,30988
St George-Sutherland,Rockdale,Other offences,,3704
St George-Sutherland,Sutherland Shire,Homicide,Murder (a),36
St George-Sutherland,Sutherland Shire,Homicide,Attempted murder,11
St George-Sutherland,Sutherland Shire,Homicide,"Murder accessory, conspiracy",1
St George-Sutherland,Sutherland Shire,Homicide,Manslaughter (a),1
St George-Sutherland,Sutherland Shire,Assault,Domestic violence related assault,9280
St George-Sutherland,Sutherland Shire,Assault,Non-domestic violence related assault,17299
St George-Sutherland,Sutherland Shire,Assault,Assault Police,1072
St George-Sutherland,Sutherland Shire,Sexual offences,Sexual assault,1408
St George-Sutherland,Sutherland Shire,Sexual offences,"Indecent assault, act of indecency and other sexual offences",2453
St George-Sutherland,Sutherland Shire,Abduction and kidnapping,,126
St George-Sutherland,Sutherland Shire,Robbery,Robbery without a weapon,1616
St George-Sutherland,Sutherland Shire,Robbery,Robbery with a firearm,202
St George-Sutherland,Sutherland Shire,Robbery,Robbery with a weapon not a firearm,785
St George-Sutherland,Sutherland Shire,Blackmail and extortion,,27
St George-Sutherland,Sutherland Shire,"Harassment, threatening behaviour and private nuisance",,11501
St George-Sutherland,Sutherland Shire,Other offences against the person,,590
St George-Sutherland,Sutherland Shire,Theft,Break and enter dwelling,25355
St George-Sutherland,Sutherland Shire,Theft,Break and enter non-dwelling,10697
St George-Sutherland,Sutherland Shire,Theft,Receiving or handling stolen goods,3120
St George-Sutherland,Sutherland Shire,Theft,Motor vehicle theft,15888
St George-Sutherland,Sutherland Shire,Theft,Steal from motor vehicle,31808
St George-Sutherland,Sutherland Shire,Theft,Steal from retail store,10383
St George-Sutherland,Sutherland Shire,Theft,Steal from dwelling,10670
St George-Sutherland,Sutherland Shire,Theft,Steal from person,4389
St George-Sutherland,Sutherland Shire,Theft,Stock theft,53
St George-Sutherland,Sutherland Shire,Theft,Fraud,15624
St George-Sutherland,Sutherland Shire,Theft,Other theft,20893
St George-Sutherland,Sutherland Shire,Arson,,1864
St George-Sutherland,Sutherland Shire,Malicious damage to property,,57493
St George-Sutherland,Sutherland Shire,Drug offences,Possession and/or use of cocaine,177
St George-Sutherland,Sutherland Shire,Drug offences,Possession and/or use of narcotics,235
St George-Sutherland,Sutherland Shire,Drug offences,Possession and/or use of cannabis,6552
St George-Sutherland,Sutherland Shire,Drug offences,Possession and/or use of amphetamines,1147
St George-Sutherland,Sutherland Shire,Drug offences,Possession and/or use of ecstasy,357
St George-Sutherland,Sutherland Shire,Drug offences,Possession and/or use of other drugs,713
St George-Sutherland,Sutherland Shire,Drug offences,"Dealing, trafficking in cocaine",57
St George-Sutherland,Sutherland Shire,Drug offences,"Dealing, trafficking in narcotics",21
St George-Sutherland,Sutherland Shire,Drug offences,"Dealing, trafficking in cannabis",237
St George-Sutherland,Sutherland Shire,Drug offences,"Dealing, trafficking in amphetamines",569
St George-Sutherland,Sutherland Shire,Drug offences,"Dealing, trafficking in ecstasy",190
St George-Sutherland,Sutherland Shire,Drug offences,"Dealing, trafficking in other drugs",35
St George-Sutherland,Sutherland Shire,Drug offences,Cultivating cannabis,409
St George-Sutherland,Sutherland Shire,Drug offences,Manufacture drug,19
St George-Sutherland,Sutherland Shire,Drug offences,Importing drugs,8
St George-Sutherland,Sutherland Shire,Drug offences,Other drug offences,1666
